Cycle,WarpID,RemainingInst,BlockedThreads,WarpStalled,Diverged,ActiveThreads,Efficiency
226,2,4,1,1,0,0,0.03125
227,3,288,12,0,0,20,1
228,3,268,20,0,0,12,0.625
229,3,256,24,0,0,8,0.375
230,3,248,26,0,0,6,0.25
231,3,242,28,0,0,4,0.1875
232,3,237,29,0,0,3,0.15625
233,3,234,30,0,0,2,0.09375
234,3,230,30,0,0,2,0.125
235,3,226,29,0,0,3,0.125
236,3,221,28,0,0,3,0.15625
237,3,216,28,0,0,3,0.15625
238,3,213,30,0,0,1,0.09375
239,3,207,27,0,0,4,0.1875
240,3,200,26,0,0,5,0.21875
241,3,190,26,0,0,5,0.3125
242,3,179,22,0,0,9,0.34375
243,3,168,23,0,0,8,0.34375
244,3,155,24,0,0,7,0.40625
245,3,148,26,0,0,4,0.21875
246,3,143,27,0,0,3,0.15625
247,3,139,28,0,0,2,0.125
248,3,137,28,0,0,2,0.0625
249,3,134,27,0,1,1,0.09375
250,3,131,20,0,1,1,0.09375
251,3,129,18,0,1,2,0.0625
252,3,125,15,0,1,3,0.125
253,3,121,15,0,1,2,0.125
254,3,118,15,0,1,2,0.09375
255,3,114,14,0,1,1,0.125
256,3,111,10,0,1,2,0.09375
257,3,109,10,0,1,1,0.0625
258,3,106,8,0,1,2,0.09375
259,3,103,6,0,1,3,0.09375
260,3,99,8,0,1,1,0.125
261,3,98,9,0,1,15,0.03125
262,3,83,15,0,1,8,0.46875
263,3,75,19,0,1,4,0.25
264,3,71,18,0,1,4,0.125
265,3,67,18,0,1,2,0.125
266,3,65,17,0,0,4,0.0625
267,3,61,18,0,0,3,0.125
268,3,57,16,0,0,3,0.125
269,3,52,17,0,0,1,0.15625
270,3,50,16,0,0,2,0.0625
271,3,46,16,0,0,1,0.125
272,3,45,17,1,0,0,0.03125
273,2,3,0,0,0,1,0.03125
274,2,2,0,0,0,1,0.03125
275,2,1,0,0,0,1,0.03125
276,2,0,0,0,0,0,0.03125
277,3,39,6,0,1,5,0.1875
278,3,33,5,0,1,4,0.1875
279,3,28,6,0,1,3,0.15625
280,3,25,7,0,1,2,0.09375
281,3,23,8,0,1,3,0.0625
282,3,20,7,0,1,3,0.09375
283,3,17,8,0,1,1,0.09375
284,3,14,8,0,0,1,0.09375
285,3,12,7,1,0,0,0.0625
286,3,11,6,0,0,1,0.03125
287,3,10,6,1,1,0,0.03125
293,3,7,3,0,1,1,0.09375
294,3,6,3,0,1,1,0.03125
295,3,5,3,0,0,1,0.03125
296,3,4,3,1,0,0,0.03125
297,3,3,3,1,0,0,0.03125
301,3,2,1,0,0,1,0.03125
302,3,1,1,0,0,1,0.03125
303,3,0,2,0,0,0,0.03125
